dateTime,valid,binCount0,binCount1,binCount2,binCount3,binCount4,binCount5,binCount6,binCount7,binCount8,binCount9,binCount10,binCount11,binCount12,binCount13,binCount14,binCount15,bin1TimeToCross,bin3TimeToCross,bin5TimeToCross,bin7TimeToCross,sampleFlowRate,temperatureOrPressure,samplingPeriod,checkSum,pm1,pm2_5,pm10
2022-03-25 19:56:47.505793,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.08,10000,10.02,4,0.02,0.12,0.15
2022-03-25 19:56:57.534743,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,10000,10.02,2,0.01,0.12,0.44
2022-03-25 19:57:07.563900,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.08,10000,10.02,3,0.02,0.10,0.14
2022-03-25 19:57:17.592787,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,10000,10.02,6,0.03,0.10,3.45
2022-03-25 19:57:27.621668,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08,10000,10.02,3,0.01,0.14,0.45
2022-03-25 19:57:37.650384,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4.10,10000,10.02,4,0.02,0.17,0.24
2022-03-25 19:57:47.679900,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4.11,10000,10.02,3,0.01,0.16,0.22
2022-03-25 19:57:57.708865,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,10000,10.02,4,0.02,0.15,0.47
2022-03-25 19:58:07.753316,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.12,10000,10.02,6,0.03,0.24,0.58
2022-03-25 19:58:17.782459,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,4.13,10000,10.02,3,0.01,0.15,1.43
2022-03-25 19:58:27.811817,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,29,0,0,4.14,10000,10.02,3,0.01,0.15,1.43
2022-03-25 19:58:37.840723,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14,10000,10.02,5,0.03,0.17,0.48
2022-03-25 19:58:47.869648,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.15,10000,10.02,5,0.02,0.22,0.56
2022-03-25 19:58:57.898927,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,4.16,10000,10.02,3,0.01,0.20,1.51
2022-03-25 19:59:07.928033,1,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,19,29,0,0,4.16,10000,10.02,10,0.05,0.34,1.93
2022-03-25 19:59:17.957008,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16,10000,10.02,3,0.02,0.05,0.05
2022-03-25 19:59:27.986006,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4.17,10000,10.02,2,0.01,0.14,0.20
2022-03-25 19:59:38.015047,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,37,0,0,4.18,10000,10.02,3,0.01,0.14,1.42
2022-03-25 19:59:48.044189,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4.14,10000,10.02,3,0.01,0.16,0.22
2022-03-25 19:59:58.073431,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,27,0,0,4.14,10000,10.02,2,0.00,0.13,1.41
2022-03-25 20:00:08.102487,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.17,10000,10.02,6,0.03,0.20,0.26
2022-03-25 20:00:18.131126,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4.14,10000,10.02,5,0.02,0.33,0.73
2022-03-25 20:00:28.175448,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.15,10000,10.02,2,0.01,0.09,0.12
2022-03-25 20:00:38.204375,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4.14,10000,10.02,3,0.02,0.10,0.13
2022-03-25 20:00:48.233852,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4.10,10000,10.02,6,0.03,0.21,0.27
2022-03-25 20:00:58.262629,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.11,10000,10.02,5,0.03,0.13,0.17
2022-03-25 20:01:08.291936,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4.16,10000,10.02,3,0.01,0.21,0.30
2022-03-25 20:01:18.321169,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.16,10000,10.02,3,0.02,0.10,0.13
2022-03-25 20:01:28.350515,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.17,10000,10.02,4,0.02,0.20,0.54
2022-03-25 20:01:38.379874,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.17,10000,10.02,7,0.04,0.16,0.20
2022-03-25 20:01:48.408633,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,10000,10.02,2,0.01,0.12,0.43
2022-03-25 20:01:58.437546,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,10000,10.02,0,0.00,0.00,0.00
2022-03-25 20:02:08.466582,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.18,10000,10.02,7,0.04,0.27,0.36
2022-03-25 20:02:18.495694,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4.20,10000,10.02,5,0.02,0.13,3.42
2022-03-25 20:02:28.524798,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4.23,10000,10.02,4,0.02,0.12,0.15
2022-03-25 20:02:38.554169,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,10000,10.02,6,0.03,0.18,0.49
2022-03-25 20:02:48.598644,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,10000,10.02,3,0.02,0.05,0.05
2022-03-25 20:02:58.627762,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,10000,10.02,4,0.01,0.23,0.84
2022-03-25 20:03:08.656821,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.21,10000,10.02,4,0.01,0.34,1.01
2022-03-25 20:03:18.686438,1,2,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,19,0,59,0,4.20,10000,10.02,9,0.03,0.46,9.41
2022-03-25 20:03:28.715674,1,14,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17,31,0,0,4.21,10000,10.02,20,0.11,0.66,2.32
2022-03-25 20:03:38.744571,1,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,4.22,10000,10.01,10,0.05,0.39,1.99
2022-03-25 20:03:48.773784,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.26,10000,10.02,9,0.04,0.43,0.86
2022-03-25 20:03:58.802975,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,10000,10.02,2,0.01,0.03,0.03
2022-03-25 20:04:08.832505,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.26,10000,10.02,3,0.01,0.18,0.52
2022-03-25 20:04:18.861503,1,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,17,25,39,0,4.26,10000,10.02,5,0.02,0.16,6.32
2022-03-25 20:04:28.890568,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,10000,10.02,2,0.01,0.03,0.03
2022-03-25 20:04:38.919880,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.24,10000,10.02,6,0.03,0.25,0.34
2022-03-25 20:04:48.948676,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.24,10000,10.02,6,0.02,0.31,0.95
2022-03-25 20:04:58.992980,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4.21,10000,10.02,4,0.02,0.12,0.15
2022-03-25 20:05:09.022342,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,10000,10.02,4,0.03,0.06,0.06
2022-03-25 20:05:19.051671,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,27,0,0,4.23,10000,10.02,4,0.02,0.16,1.42
2022-03-25 20:05:29.080758,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4.21,10000,10.02,4,0.02,0.17,0.23
2022-03-25 20:05:39.109759,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,10000,10.02,2,0.01,0.03,0.03
2022-03-25 20:05:49.139108,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4.21,10000,10.02,5,0.02,0.32,0.72
2022-03-25 20:05:59.168014,1,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4.26,10000,10.01,11,0.06,0.36,0.73
2022-03-25 20:06:09.197361,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,10000,10.02,2,0.01,0.03,0.03
2022-03-25 20:06:19.226320,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4.25,10000,10.02,3,0.01,0.15,0.21
2022-03-25 20:06:29.255441,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4.23,10000,10.01,4,0.02,0.12,0.15
2022-03-25 20:06:39.284436,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,10000,10.02,3,0.02,0.05,0.05
2022-03-25 20:06:49.313514,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.23,10000,10.02,2,0.01,0.03,0.03
2022-03-25 20:06:59.357942,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4.20,10000,10.02,4,0.02,0.22,0.31
2022-03-25 20:07:09.387071,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20,10000,10.02,0,0.00,0.00,0.00
2022-03-25 20:07:19.416373,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4.22,10000,10.02,7,0.03,0.30,0.67
2022-03-25 20:07:29.445556,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.23,10000,10.02,3,0.02,0.10,0.13
2022-03-25 20:07:39.474270,1,2,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,0,43,0,4.17,10000,10.02,7,0.03,0.31,5.45
2022-03-25 20:07:49.503356,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,23,0,0,4.19,10000,10.02,8,0.04,0.28,1.58
2022-03-25 20:07:59.532492,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4.21,10000,10.02,7,0.03,0.33,0.98
2022-03-25 20:08:09.561641,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,10000,10.02,5,0.03,0.16,0.47
2022-03-25 20:08:19.590690,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,10000,10.02,6,0.03,0.26,0.88
2022-03-25 20:08:29.619796,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,33,0,0,4.22,10000,10.02,4,0.02,0.16,1.42
2022-03-25 20:08:39.648872,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.20,10000,10.02,6,0.03,0.20,0.26
2022-03-25 20:08:49.693112,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,49,0,0,4.21,10000,10.02,6,0.03,0.19,1.45
2022-03-25 20:08:59.721903,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.21,10000,10.02,4,0.01,0.23,0.84
2022-03-25 20:09:09.751334,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.24,10000,10.02,5,0.02,0.24,0.33
2022-03-25 20:09:19.780369,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,4.24,10000,10.02,6,0.02,0.30,2.14
2022-03-25 20:09:29.809604,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.25,10000,10.02,2,0.01,0.08,0.11
2022-03-25 20:09:39.838808,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4.26,10000,10.02,4,0.01,0.30,0.69
2022-03-25 20:09:49.867974,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4.28,10000,10.02,4,0.02,0.22,0.31
2022-03-25 20:09:59.896909,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,10000,10.02,3,0.01,0.13,0.43
2022-03-25 20:10:09.925694,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,10000,10.02,1,0.01,0.02,0.02
2022-03-25 20:10:19.970172,1,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,23,0,0,4.27,10000,10.02,10,0.05,0.30,1.58
2022-03-25 20:10:29.984058,1,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4.29,10000,10.02,10,0.04,0.61,1.63
2022-03-25 20:10:40.028706,1,21,21,20,3,0,0,0,0,0,0,0,0,0,0,0,0,17,27,0,0,4.31,10000,10.02,65,0.23,3.86,14.09
2022-03-25 20:10:50.057675,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,10000,10.02,1,0.00,0.10,0.40
2022-03-25 20:11:00.086928,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18,27,0,0,4.30,10000,10.02,5,0.02,0.22,1.49
2022-03-25 20:11:10.115976,1,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.29,10000,10.02,8,0.03,0.31,3.86
2022-03-25 20:11:20.145137,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,4.28,10000,10.02,6,0.03,0.20,0.26
2022-03-25 20:11:30.174150,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.28,10000,10.02,3,0.01,0.15,0.21
2022-03-25 20:11:40.203044,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,10000,10.02,5,0.03,0.16,0.46
2022-03-25 20:11:50.232171,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,10000,10.02,1,0.01,0.02,0.02
2022-03-25 20:12:00.276576,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4.30,10000,10.02,3,0.02,0.10,0.13
2022-03-25 20:12:10.290396,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4.28,10000,10.02,5,0.03,0.18,0.24
2022-03-25 20:12:20.334892,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28,10000,10.02,1,0.01,0.02,0.02
2022-03-25 20:12:30.363946,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,4.26,10000,10.02,2,0.01,0.08,0.11
2022-03-25 20:12:40.392836,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.28,10000,10.02,8,0.04,0.31,0.67
2022-03-25 20:12:50.421819,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4.30,10000,10.02,2,0.01,0.08,0.11
2022-03-25 20:13:00.450823,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4.33,10000,10.02,9,0.05,0.32,0.68
2022-03-25 20:13:10.480087,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4.35,10000,10.02,4,0.02,0.19,0.52
2022-03-25 20:13:20.508925,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.35,10000,10.02,4,0.02,0.11,0.14
2022-03-25 20:13:30.537779,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4.33,10000,10.02,4,0.02,0.16,0.22
2022-03-25 20:13:40.567043,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,10000,10.02,2,0.01,0.03,0.03
2022-03-25 20:13:50.596534,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33,10000,10.02,5,0.03,0.16,0.46
2022-03-25 20:14:00.625740,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.32,10000,10.02,3,0.01,0.26,0.89
2022-03-25 20:14:10.670063,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.34,10000,10.02,6,0.03,0.25,0.33
2022-03-25 20:14:20.699508,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4.36,10000,10.02,9,0.04,0.42,0.84
2022-03-25 20:14:30.728395,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,10000,10.02,1,0.00,0.10,0.39
2022-03-25 20:14:40.757470,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,10000,10.02,0,0.00,0.00,0.00
2022-03-25 20:14:50.786659,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,10000,10.02,2,0.01,0.03,0.03
2022-03-25 20:15:00.815598,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4.37,10000,10.02,3,0.01,0.15,0.21
2022-03-25 20:15:10.844875,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.37,10000,10.02,7,0.03,0.29,0.64
2022-03-25 20:15:20.874133,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,10000,10.02,3,0.01,0.13,0.42
2022-03-25 20:15:30.903220,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.38,10000,10.02,4,0.02,0.11,0.14
2022-03-25 20:15:40.932403,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.38,10000,10.02,4,0.02,0.11,0.14
2022-03-25 20:15:50.961703,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.38,10000,10.02,3,0.02,0.10,0.13
2022-03-25 20:16:01.005777,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4.35,10000,10.02,6,0.03,0.28,0.63
2022-03-25 20:16:11.019410,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4.37,10000,10.02,6,0.03,0.14,3.30
2022-03-25 20:16:21.063655,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.36,10000,10.02,3,0.02,0.10,0.13
2022-03-25 20:16:31.092974,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.38,10000,10.02,8,0.04,0.30,0.66
2022-03-25 20:16:41.121944,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,4.38,10000,10.02,3,0.01,0.15,0.21
2022-03-25 20:16:51.150877,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.38,10000,10.02,1,0.01,0.02,0.02
2022-03-25 20:17:01.180133,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,4.39,10000,10.02,7,0.03,0.33,1.86
2022-03-25 20:17:11.209211,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,10000,10.02,2,0.01,0.11,0.41
2022-03-25 20:17:21.238273,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.39,10000,10.02,3,0.01,0.18,0.50
2022-03-25 20:17:31.267186,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.39,10000,10.02,4,0.02,0.11,0.14
2022-03-25 20:17:41.296316,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39,10000,10.02,5,0.03,0.16,0.45
2022-03-25 20:17:51.325388,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.39,10000,10.02,8,0.04,0.32,0.44
2022-03-25 20:18:01.354338,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.38,10000,10.02,3,0.02,0.10,0.13
2022-03-25 20:18:11.398320,1,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,4.34,10000,10.02,7,0.03,0.26,3.50
2022-03-25 20:18:21.427114,1,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4.37,10000,10.02,9,0.05,0.32,0.67
2022-03-25 20:18:31.456320,1,7,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,19,23,51,0,4.36,10000,10.02,12,0.05,0.36,7.61
2022-03-25 20:18:41.485123,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,10000,10.02,5,0.03,0.16,0.46
2022-03-25 20:18:51.514262,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,10000,10.02,4,0.03,0.06,0.06
2022-03-25 20:19:01.543173,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.36,10000,10.02,3,0.02,0.10,0.13
2022-03-25 20:19:11.572668,1,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15,25,0,0,4.36,10000,10.02,7,0.04,0.20,1.42
2022-03-25 20:19:21.601517,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,10000,10.02,2,0.01,0.03,0.03
2022-03-25 20:19:31.630356,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,10000,10.02,1,0.01,0.02,0.02
2022-03-25 20:19:41.659442,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36,10000,10.02,2,0.01,0.03,0.03
2022-03-25 20:19:51.688785,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,4.36,10000,10.02,2,0.01,0.08,0.11
2022-03-25 20:20:01.718006,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4.37,10000,10.02,6,0.03,0.22,0.55
2022-03-25 20:20:11.747015,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,10000,10.02,1,0.00,0.10,0.39
2022-03-25 20:20:21.790981,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,4.36,10000,10.02,3,0.02,0.10,0.13
2022-03-25 20:20:31.820256,1,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,20,28,0,0,4.32,10000,10.02,12,0.04,0.64,3.76
